start_location,end_location,time_road
AT21,LV00,31
AT21,MT00,26
AT21,NL11,18
AT21,NL12,18
AT21,NL13,17
AT21,NL21,16
AT21,NL22,16
AT21,NL23,17
AT21,NL31,17
AT21,NL32,17
AT21,NL33,17
AT21,NL34,17
AT21,NL41,16
AT21,NL42,15
AT21,PL11,17
AT21,PL12,19
AT21,PL21,13
AT21,PL22,12
AT21,PL31,19
AT21,PL32,16
AT21,PL33,16
AT21,PL34,22
AT21,PL41,19
AT21,PL42,19
AT21,PL43,17
AT21,PL51,15
AT21,PL52,13
AT21,PL61,20
AT21,PL62,22
AT21,PL63,22
AT21,PT11,31
AT21,PT15,34
AT21,PT16,32
AT21,PT17,33
AT21,PT18,33
AT21,PT20,97
AT21,PT30,76
AT21,RO11,16
AT21,RO12,18
AT21,RO21,23
AT21,RO22,23
AT21,RO31,19
AT21,RO32,20
AT21,RO41,16
AT21,RO42,14
AT21,SE11,29
AT21,SE12,29
AT21,SE21,27
AT21,SE22,23
AT21,SE23,26
AT21,SE31,30
AT21,SE32,34
AT21,SE33,39
AT21,SI01,4
AT21,SI02,3
AT21,SK01,8
AT21,SK02,8
AT21,SK03,10
AT21,SK04,14
AT21,UKC1,27
AT21,UKC2,27
AT21,UKD1,28
AT21,UKD3,26
AT21,UKD4,27
AT21,UKD6,26
AT21,UKD7,26
AT21,UKE1,26
AT21,UKE2,27
AT21,UKE3,26
AT21,UKE4,26
AT21,UKF1,25
AT21,UKF2,24
AT21,UKF3,25
AT21,UKG1,25
AT21,UKG2,25
AT21,UKG3,25
AT21,UKH1,24
AT21,UKH2,24
AT21,UKH3,23
AT21,UKI1,23
AT21,UKI2,23
AT21,UKJ1,23
AT21,UKJ2,23
AT21,UKJ3,24
AT21,UKJ4,22
AT21,UKK1,25
AT21,UKK2,25
AT21,UKK3,27
AT21,UKK4,26
AT21,UKL1,26
AT21,UKL2,26
AT21,UKM2,30
AT21,UKM3,30
AT21,UKM5,33
AT21,UKM6,34
AT21,UKN0,34
AT22,AT11,3
AT22,AT12,4
AT22,AT13,4
AT22,AT21,4
AT22,AT22,2
AT22,AT31,4
AT22,AT32,5
AT22,AT33,7
AT22,AT34,9
AT22,BE10,15
AT22,BE21,15
AT22,BE22,14
AT22,BE23,16
AT22,BE24,15
AT22,BE25,16
AT22,BE31,15
AT22,BE32,15
AT22,BE33,14
AT22,BE34,14
AT22,BE35,15
AT22,BG31,17
AT22,BG32,20
AT22,BG33,23
AT22,BG34,18
AT22,BG41,16
AT22,BG42,18
AT22,CY00,42
AT22,CZ01,8
AT22,CZ02,8
AT22,CZ03,8
AT22,CZ04,9
AT22,CZ05,9
AT22,CZ06,6
AT22,CZ07,7
AT22,CZ08,8
AT22,DE11,10
AT22,DE12,10
AT22,DE13,12
AT22,DE14,10
AT22,DE21,7
AT22,DE22,6
AT22,DE23,7
AT22,DE24,8
AT22,DE25,8
AT22,DE26,9
AT22,DE27,8
AT22,DE30,13
AT22,DE40,13
AT22,DE50,15
AT22,DE60,16
AT22,DE71,11
AT22,DE72,11
AT22,DE73,11
AT22,DE80,15
AT22,DE91,13
AT22,DE92,14
AT22,DE93,16
AT22,DE94,16
AT22,DEA1,14
AT22,DEA2,13
AT22,DEA3,14
AT22,DEA4,13
AT22,DEA5,13
AT22,DEB1,12
AT22,DEB2,13
AT22,DEB3,11
AT22,DEC0,12
AT22,DED2,11
AT22,DED4,10
AT22,DED5,11
AT22,DEE0,12
AT22,DEF0,17
AT22,DEG0,11
AT22,DK01,21
AT22,DK02,20
AT22,DK03,19
AT22,DK04,20
AT22,DK05,21
AT22,EE00,32
AT22,EL11,19
AT22,EL12,17
AT22,EL13,18
AT22,EL14,19
AT22,EL21,20
AT22,EL22,24
AT22,EL23,22
AT22,EL24,21
AT22,EL25,25
AT22,EL30,23
AT22,EL41,31
AT22,EL42,33
AT22,EL43,38
AT22,ES11,32
AT22,ES12,28
AT22,ES13,26
AT22,ES21,24
AT22,ES22,24
AT22,ES23,25
AT22,ES24,23
AT22,ES30,28
AT22,ES41,28
AT22,ES42,28
AT22,ES43,32
AT22,ES51,20
AT22,ES52,25
AT22,ES53,29
AT22,ES61,32
AT22,ES62,27
AT22,ES63,37
AT22,ES64,38
AT22,ES70,88
AT22,FI19,40
AT22,FI1B,37
AT22,FI1C,39
AT22,FI1D,43
AT22,FI20,34
AT22,FR10,17
AT22,FR21,15
AT22,FR22,17
AT22,FR23,19
AT22,FR24,19
AT22,FR25,20
AT22,FR26,16
AT22,FR30,16
AT22,FR41,13
AT22,FR42,12
AT22,FR43,14
AT22,FR51,21
AT22,FR52,22
AT22,FR53,22
AT22,FR61,21
AT22,FR62,19
AT22,FR63,18
AT22,FR71,13
AT22,FR72,16
AT22,FR81,16
AT22,FR82,13
AT22,FR83,19
AT22,HR03,7
AT22,HR04,5
AT22,HU10,7
AT22,HU21,6
AT22,HU22,4
AT22,HU23,6
AT22,HU31,9
AT22,HU32,10
AT22,HU33,9
AT22,IE01,34
AT22,IE02,33
AT22,ITC1,10
AT22,ITC2,10
AT22,ITC3,10
AT22,ITC4,9
AT22,ITF1,11
AT22,ITF2,13
AT22,ITF3,13
AT22,ITF4,15
AT22,ITF5,16
AT22,ITF6,18
AT22,ITG1,23
AT22,ITG2,26
AT22,ITH1,10
AT22,ITH2,8
AT22,ITH3,7
AT22,ITH4,5
AT22,ITH5,8
AT22,ITI1,9
AT22,ITI2,11
AT22,ITI3,10
AT22,ITI4,11
AT22,LT00,25
AT22,LU00,13
AT22,LV00,28
AT22,MT00,28
AT22,NL11,17
AT22,NL12,16
AT22,NL13,16
AT22,NL21,15
AT22,NL22,15
AT22,NL23,16
AT22,NL31,15
AT22,NL32,16
AT22,NL33,16
AT22,NL34,16
AT22,NL41,15
AT22,NL42,14
AT22,PL11,14
AT22,PL12,16
AT22,PL21,11
AT22,PL22,9
AT22,PL31,16
AT22,PL32,13
AT22,PL33,13
AT22,PL34,19
AT22,PL41,16
AT22,PL42,17
AT22,PL43,15
AT22,PL51,12
AT22,PL52,10
AT22,PL61,17
AT22,PL62,20
AT22,PL63,19
AT22,PT11,33
AT22,PT15,36
AT22,PT16,34
AT22,PT17,35
AT22,PT18,35
AT22,PT20,101
AT22,PT30,77
AT22,RO11,14
AT22,RO12,16
AT22,RO21,21
AT22,RO22,21
AT22,RO31,18
AT22,RO32,19
AT22,RO41,16
AT22,RO42,12
AT22,SE11,28
AT22,SE12,27
AT22,SE21,25
AT22,SE22,21
AT22,SE23,25
AT22,SE31,28
AT22,SE32,33
AT22,SE33,39
AT22,SI01,3
AT22,SI02,4
AT22,SK01,5
AT22,SK02,6
AT22,SK03,7
AT22,SK04,11
AT22,UKC1,26
AT22,UKC2,26
AT22,UKD1,26
AT22,UKD3,25
AT22,UKD4,25
AT22,UKD6,25
AT22,UKD7,25
AT22,UKE1,25
AT22,UKE2,25
AT22,UKE3,24
AT22,UKE4,25
AT22,UKF1,24
AT22,UKF2,23
AT22,UKF3,24
AT22,UKG1,23
AT22,UKG2,24
AT22,UKG3,24
AT22,UKH1,23
AT22,UKH2,22
AT22,UKH3,22
AT22,UKI1,22
AT22,UKI2,22
AT22,UKJ1,22
AT22,UKJ2,22
AT22,UKJ3,23
AT22,UKJ4,21
AT22,UKK1,23
AT22,UKK2,24
AT22,UKK3,26
AT22,UKK4,25
AT22,UKL1,25
AT22,UKL2,24
AT22,UKM2,29
AT22,UKM3,28
AT22,UKM5,31
AT22,UKM6,32
AT22,UKN0,33
AT31,AT11,4
AT31,AT12,3
AT31,AT13,4
AT31,AT21,6
AT31,AT22,4
AT31,AT31,1
AT31,AT32,3
AT31,AT33,5
AT31,AT34,7
AT31,BE10,13
AT31,BE21,13
