start_location,end_location,total_cost
AT21,CZ03,648
AT21,CZ04,831
AT21,CZ05,830
AT21,CZ06,637
AT21,CZ07,714
AT21,CZ08,805
AT21,DE11,923
AT21,DE12,1013
AT21,DE13,1121
AT21,DE14,876
AT21,DE21,585
AT21,DE22,621
AT21,DE23,760
AT21,DE24,920
AT21,DE25,827
AT21,DE26,1009
AT21,DE27,733
AT21,DE30,1383
AT21,DE40,1358
AT21,DE50,1665
AT21,DE60,1745
AT21,DE71,1153
AT21,DE72,1230
AT21,DE73,1289
AT21,DE80,1716
AT21,DE91,1360
AT21,DE92,1484
AT21,DE93,1634
AT21,DE94,1646
AT21,DEA1,1453
AT21,DEA2,1391
AT21,DEA3,1497
AT21,DEA4,1430
AT21,DEA5,1412
AT21,DEB1,1263
AT21,DEB2,1325
AT21,DEB3,1094
AT21,DEC0,1200
AT21,DED2,1081
AT21,DED4,1051
AT21,DED5,1148
AT21,DEE0,1231
AT21,DEF0,1785
AT21,DEG0,1126
AT21,DK01,2516
AT21,DK02,2424
AT21,DK03,2246
AT21,DK04,2331
AT21,DK05,2486
AT21,EE00,2355
AT21,EL11,1902
AT21,EL12,1763
AT21,EL13,1833
AT21,EL14,1958
AT21,EL21,2024
AT21,EL22,2401
AT21,EL23,2246
AT21,EL24,2122
AT21,EL25,2454
AT21,EL30,2294
AT21,EL41,2839
AT21,EL42,3210
AT21,EL43,3567
AT21,ES11,3622
AT21,ES12,3339
AT21,ES13,3139
AT21,ES21,3040
AT21,ES22,2887
AT21,ES23,2847
AT21,ES24,2634
AT21,ES30,2958
AT21,ES41,3127
AT21,ES42,3073
AT21,ES43,3259
AT21,ES51,2396
AT21,ES52,3034
AT21,ES53,3490
AT21,ES61,3511
AT21,ES62,3149
AT21,ES63,3942
AT21,ES64,4207
AT21,ES70,8609
AT21,FI19,3666
AT21,FI1B,3398
AT21,FI1C,3546
AT21,FI1D,3984
AT21,FI20,3578
AT21,FR10,1859
AT21,FR21,1520
AT21,FR22,1786
AT21,FR23,2084
AT21,FR24,2033
AT21,FR25,2273
AT21,FR26,1724
AT21,FR30,1774
AT21,FR41,1323
AT21,FR42,1194
AT21,FR43,1521
AT21,FR51,2408
AT21,FR52,2656
AT21,FR53,2279
AT21,FR61,2491
AT21,FR62,2367
AT21,FR63,2064
AT21,FR71,1488
AT21,FR72,1810
AT21,FR81,2003
AT21,FR82,1580
AT21,FR83,1738
AT21,HR03,718
AT21,HR04,518
AT21,HU10,829
AT21,HU21,637
AT21,HU22,475
AT21,HU23,649
AT21,HU31,1026
AT21,HU32,1142
AT21,HU33,932
AT21,IE01,3674
AT21,IE02,3511
AT21,ITC1,1038
AT21,ITC2,1048
AT21,ITC3,1106
AT21,ITC4,818
AT21,ITF1,1249
AT21,ITF2,1468
AT21,ITF3,1613
AT21,ITF4,1741
AT21,ITF5,1808
AT21,ITF6,2168
AT21,ITG1,2688
AT21,ITG2,2332
AT21,ITH1,498
AT21,ITH2,645
